name,longitude,latitude,countryCode,stateProvince,prov,year,key
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756307041
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756315074
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756305442
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756344948
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756347270
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756322916
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756327418
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756330538
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756341022
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756337077
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756344891
Lycorma delicatula,127.060755,37.377839,KR,Gyeonggi-do,gbif,2024,5283785329
Lycorma delicatula,127.064884,37.423864,KR,Gyeonggi-do,gbif,2024,5283786039
Lycorma delicatula,127.100598,37.444646,KR,Gyeonggi-do,gbif,2024,5283786436
Lycorma delicatula,127.065271,37.400957,KR,Gyeonggi-do,gbif,2024,5283786719
Lycorma delicatula,127.166419,37.384163,KR,Gyeonggi-do,gbif,2024,5283782925
Lycorma delicatula,-75.351433,39.75143,US,New Jersey,gbif,2019,2429347940
Lycorma delicatula,-75.965714,40.403546,US,Pennsylvania,gbif,2021,3398933310
Lycorma delicatula,-73.953106,40.795289,US,New York,gbif,2022,3889046705
Lycorma delicatula,-74.13002,40.157013,US,New Jersey,gbif,2022,3903374671
Lycorma delicatula,-74.399025,40.782783,US,New Jersey,gbif,2022,3912090008
Lycorma delicatula,-73.962214,40.790868,US,New York,gbif,2023,4091662710
Lycorma delicatula,-73.936549,40.724618,US,New York,gbif,2023,4103029411
Lycorma delicatula,-73.968497,40.659811,US,New York,gbif,2023,4120855591
Lycorma delicatula,-74.25425,40.735962,US,New Jersey,gbif,2023,4130032622
Lycorma delicatula,116.253795,40.032376,CN,Beijing,gbif,2023,4171368144
Lycorma delicatula,-78.093492,38.885242,US,Virginia,gbif,2023,4416910225
Lycorma delicatula,-73.529615,40.616691,US,New York,gbif,2024,4872309370
Lycorma delicatula,-81.274566,41.427734,US,Ohio,gbif,2024,4924089666
Lycorma delicatula,-77.546374,39.099649,US,Virginia,gbif,2024,4936363047
Lycorma delicatula,-77.859266,39.153076,US,West Virginia,gbif,2024,4937046852
Lycorma delicatula,-77.149266,39.086098,US,Maryland,gbif,2024,4945639495
Lycorma delicatula,-73.235931,41.21815,US,Connecticut,gbif,2024,4946128509
Lycorma delicatula,-77.076461,38.941925,US,District of Columbia,gbif,2024,4950429457
Lycorma delicatula,-80.764524,41.101725,US,Ohio,gbif,2024,4950550542
Lycorma delicatula,-77.286001,38.94538,US,Virginia,gbif,2024,4952268072
Lycorma delicatula,-74.430838,40.773608,US,New Jersey,gbif,2024,4952459617
Lycorma delicatula,-73.562414,40.660592,US,New York,gbif,2024,4952568225
Lycorma delicatula,-77.306617,39.280047,US,Maryland,gbif,2024,4976208785
Lycorma delicatula,-77.287279,38.800406,US,Virginia,gbif,2024,4982185064
Lycorma delicatula,-75.050462,39.913228,US,New Jersey,gbif,2020,2859945242
Lycorma delicatula,-73.965447,40.787178,US,New York,gbif,2021,3355299444
Lycorma delicatula,-74.437958,40.479558,US,New Jersey,gbif,2021,3457014106
Lycorma delicatula,-73.70025,40.948247,US,New York,gbif,2022,3902621241
Lycorma delicatula,-73.94262,40.72262,US,New York,gbif,2022,3903054401
Lycorma delicatula,-73.960058,40.660112,US,New York,gbif,2022,3912004008
Lycorma delicatula,-73.949638,40.719197,US,New York,gbif,2023,4133994140
Lycorma delicatula,-75.198517,40.168278,US,Pennsylvania,gbif,2023,4145345171
Lycorma delicatula,-76.758174,39.432228,US,Maryland,gbif,2023,4405323697
Lycorma delicatula,-80.042523,40.333469,US,Pennsylvania,gbif,2023,4414268404
Lycorma delicatula,-74.363403,40.464633,US,New Jersey,gbif,2023,4421103101
Lycorma delicatula,-80.21228,40.217138,US,Pennsylvania,gbif,2023,4506491188
Lycorma delicatula,-77.599983,38.761805,US,Virginia,gbif,2024,4891955528
Lycorma delicatula,-73.869069,40.812893,US,New York,gbif,2024,4901668987
Lycorma delicatula,-73.962556,40.664592,US,New York,gbif,2024,4904220810
Lycorma delicatula,-77.40279,39.414225,US,Maryland,gbif,2024,4908168446
Lycorma delicatula,-76.656545,37.217286,US,Virginia,gbif,2024,4935684384
Lycorma delicatula,-75.09485,38.792978,US,Delaware,gbif,2024,4946109999
Lycorma delicatula,-72.57476,42.13539,US,Massachusetts,gbif,2024,4946375923
Lycorma delicatula,-86.91505,40.432033,US,Indiana,gbif,2024,4952686212
Lycorma delicatula,-73.832556,41.107769,US,New York,gbif,2024,4973923668
Lycorma delicatula,126.59223,36.789015,KR,Chungcheongnam-do,gbif,2019,2283152060
Lycorma delicatula,-75.373497,40.61628,US,Pennsylvania,gbif,2019,2294682593
Lycorma delicatula,-75.7281,39.715819,US,Delaware,gbif,2020,2856609995
Lycorma delicatula,-74.418977,40.476495,US,New Jersey,gbif,2021,3097197588
Lycorma delicatula,-74.437112,40.498088,US,New Jersey,gbif,2021,3307204716
Lycorma delicatula,-74.180205,40.569467,US,New York,gbif,2021,3338123921
Lycorma delicatula,-76.642692,39.907345,US,Pennsylvania,gbif,2022,3873249114
Lycorma delicatula,-76.699816,39.932599,US,Pennsylvania,gbif,2022,3912189994
Lycorma delicatula,-74.217361,40.692474,US,New Jersey,gbif,2022,3915457601
Lycorma delicatula,-74.101021,40.781067,US,New Jersey,gbif,2023,4138511900
Lycorma delicatula,126.583581,36.7427,KR,Chungcheongnam-do,gbif,2017,1880508419
Lycorma delicatula,-75.460237,40.192683,US,Pennsylvania,gbif,2019,2397571940
Lycorma delicatula,-75.191947,39.960908,US,Pennsylvania,gbif,2020,2850610592
Lycorma delicatula,-74.322053,40.528038,US,New Jersey,gbif,2020,2864752816
Lycorma delicatula,126.587583,36.741593,KR,Chungcheongnam-do,gbif,2018,1848798763
Lycorma delicatula,-75.340294,40.632765,US,Pennsylvania,gbif,2020,2868234795
Lycorma delicatula,-75.191654,40.101526,US,Pennsylvania,gbif,2020,2963745564
Lycorma delicatula,-75.381425,39.831531,US,Pennsylvania,gbif,2020,2963789935
Lycorma delicatula,-75.031993,40.180463,US,Pennsylvania,gbif,2020,3031957973
Lycorma delicatula,-75.455637,39.686267,US,New Jersey,gbif,2020,3068034861
Lycorma delicatula,-75.222656,40.204207,US,Pennsylvania,gbif,2021,3333066040
Lycorma delicatula,-74.915819,40.912988,US,New Jersey,gbif,2021,3337412078
Lycorma delicatula,-75.740099,40.863717,US,Pennsylvania,gbif,2021,3344039687
Lycorma delicatula,-74.840538,39.313253,US,New Jersey,gbif,2021,3384446276
Lycorma delicatula,-75.092491,40.036972,US,Pennsylvania,gbif,2022,3859352159
Lycorma delicatula,-75.433782,40.111855,US,Pennsylvania,gbif,2022,3873622196
Lycorma delicatula,-74.004555,40.716064,US,New York,gbif,2022,3888715623
Lycorma delicatula,-74.009636,40.713881,US,New York,gbif,2022,3903039388
Lycorma delicatula,-77.397919,40.551651,US,Pennsylvania,gbif,2022,3903199607
Lycorma delicatula,-73.953255,40.758456,US,New York,gbif,2023,4127016888
Lycorma delicatula,-73.976987,40.648315,US,New York,gbif,2023,4130094306
Lycorma delicatula,-74.389037,40.946494,US,New Jersey,gbif,2023,4134104825
Lycorma delicatula,-73.95214,40.770955,US,New York,gbif,2023,4172313573
Lycorma delicatula,-80.04248,40.33347,US,Pennsylvania,gbif,2023,4416825712
Lycorma delicatula,-73.741485,40.742992,US,New York,gbif,2023,4438834049
Lycorma delicatula,-73.952187,40.770888,US,New York,gbif,2024,4903762547
Lycorma delicatula,-73.934113,40.60223,US,New York,gbif,2024,4919208454
Lycorma delicatula,-78.48848,38.420162,US,Virginia,gbif,2024,4946696288
Lycorma delicatula,-77.355903,38.854533000000004,US,Virginia,gbif,2024,4952793526
Lycorma delicatula,-77.244797,38.717472,US,Virginia,gbif,2024,4952970049
Lycorma delicatula,128.613432,38.180085,KR,Gangwon-do,gbif,2024,4953139426
Lycorma delicatula,-79.155524,37.43604,US,Virginia,gbif,2024,4954597071
Lycorma delicatula,-74.173483,40.742613,US,New Jersey,gbif,2021,3384118059
Lycorma delicatula,-73.966942,40.801115,US,New York,gbif,2021,3384492089
Lycorma delicatula,-74.959368,41.06079,US,New Jersey,gbif,2021,3385002126
Lycorma delicatula,-73.953158,40.771785,US,New York,gbif,2022,3859632008
Lycorma delicatula,-73.968314,40.642619,US,New York,gbif,2022,3873872425
Lycorma delicatula,-75.193603,40.990172,US,Pennsylvania,gbif,2022,3892657248
Lycorma delicatula,-73.99012,40.756503,US,New York,gbif,2022,3902818207
Lycorma delicatula,-74.009636,40.713881,US,New York,gbif,2022,3902828400
Lycorma delicatula,-73.821072,40.748779,US,New York,gbif,2022,3985744130
Lycorma delicatula,-74.103639,40.643312,US,New York,gbif,2022,4116402808
Lycorma delicatula,-74.894937,40.07087,US,New Jersey,gbif,2023,4130010836
Lycorma delicatula,-77.866492,39.542511,US,Maryland,gbif,2023,4138347024
Lycorma delicatula,-80.008511,40.43266,US,Pennsylvania,gbif,2023,4138728184
Lycorma delicatula,-77.5508,38.824851,US,Virginia,gbif,2023,4145778841
Lycorma delicatula,-77.833022,39.606503,US,Maryland,gbif,2023,4171711691
Lycorma delicatula,-76.977213,39.506344,US,Maryland,gbif,2023,4177298081
Lycorma delicatula,-80.04299,40.333389,US,Pennsylvania,gbif,2023,4405535317
Lycorma delicatula,-80.042581,40.333451,US,Pennsylvania,gbif,2023,4413527159
Lycorma delicatula,-74.003723,40.303782,US,New Jersey,gbif,2023,4424606817
Lycorma delicatula,-74.164751,40.789943,US,New Jersey,gbif,2023,4424687720
Lycorma delicatula,-73.761444,41.022461,US,New York,gbif,2023,4436345772
Lycorma delicatula,-73.640686,40.667066,US,New York,gbif,2023,4506473253
Lycorma delicatula,-74.17872,40.722011,US,New York,gbif,2024,4875521918
Lycorma delicatula,-73.833722,40.667507,US,New York,gbif,2024,4901668359
Lycorma delicatula,-84.542281,39.187675,US,Ohio,gbif,2024,4919428983
Lycorma delicatula,-76.532361,39.0633,US,Maryland,gbif,2024,4919652465
Lycorma delicatula,-75.470528,39.272747,US,Delaware,gbif,2024,4935878214
Lycorma delicatula,-71.39868,41.84047,US,Rhode Island,gbif,2024,4953079709
Lycorma delicatula,-77.805143,39.487797,US,West Virginia,gbif,2024,4987730841
Lycorma delicatula,-77.3097,38.651421,US,Virginia,gbif,2025,5153098065
Lycorma delicatula,-78.166232,38.737716,US,Virginia,gbif,2025,5154375953
Lycorma delicatula,-73.425828,40.754137,US,New York,gbif,2024,5187945842
Lycorma delicatula,-77.401222,38.975033,US,Virginia,gbif,2025,5188051912
